,Unnamed: 0,id,source,prompt,ramc_completion,completion_type,completion,completion_string,simplified_gt,simplified_gen,simplified_concepts,simplified_edge_correct
17,17,17,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.rootContext','EAnnotation.rootContext']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4cEN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.rootContext','EStringToStringMapEntry.documentation']","[""['EReference.rootContext', 'EClass.rootContext'], ['ER""]","['EAnnotation.rootContext','EStringToStringMapEntry.documentation']","['EReference.rootContext','EClass.rootContext']",EReference.rootContext,False
19,19,19,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.commandName','EAnnotation.commandName']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4cO96tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.commandName','EStringToStringMapEntry.documentation']","[""['EAttribute.commandName', 'EAnnotation.commandName']].\n['E""]","['EAnnotation.commandName','EStringToStringMapEntry.documentation']","['EAttribute.commandName','EAnnotation.commandName']",EAttribute.commandName,False
21,21,21,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.accessibilityPhrase','EAnnotation.accessibilityPhrase']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4c2d6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.accessibilityPhrase','EStringToStringMapEntry.documentation']","[""['EAttribute.accessibilityPhrase', 'EAnnotation.accessibilityPhrase']].""]","['EAnnotation.accessibilityPhrase','EStringToStringMapEntry.documentation']","['EAttribute.accessibilityPhrase','EAnnotation.accessibilityPhrase']",EAttribute.accessibilityPhrase,False
23,23,23,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.descriptors','EAnnotation.descriptors']"," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4erN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.descriptors','EStringToStringMapEntry.documentation']","[""[EReference.descriptors, 'EAnnotation.descriptors'],['EAnnotation""]","['EAnnotation.descriptors','EStringToStringMapEntry.documentation']","[EReference.descriptors,'EAnnotation.descriptors']",,False
26,26,26,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.positionInParent','EAnnotation.positionInParent']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4dz96tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.positionInParent','EStringToStringMapEntry.documentation']","[""['EAttribute.positionInParent', 'EAttribute.positionInParent']].""]","['EAnnotation.positionInParent','EStringToStringMapEntry.documentation']","['EAttribute.positionInParent','EAttribute.positionInParent']",EAttribute.positionInParent,False
35,35,35,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.def'],['EClass.AuditedMetricTarget','EAnnotation.AuditedMetricTarget']"," 1 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_bLm8jd6tEei97MD7GK1RmA', 'key':'ocl','value':''ecore::EDoubleObject''}}""

$$",['Add_node'],"['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.ocl']","[""['EAnnotation.AuditedMetricTarget', 'EStringToStringMapEntry"", ""['EClass.AuditedMetricValue', 'EAnnotation.Audited"", ""['EAnnotation.AuditedMetricTarget', 'EStringToMapEntry""]","['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.ocl']",,,False
36,36,36,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.element','EStringToStringMapEntry.description'],['EReference.element','EAnnotation.element']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_bLm8bN6tEei97MD7GK1RmA', 'key':'ocl','value':'element.oclIsKindOf(notation::View)'}}""

$$",['Add_node'],"['EAnnotation.element','EStringToStringMapEntry.ocl']","[""['EAnnotation.element', 'EStringToStringMapEntry.type']].\n['"", ""['EReference.element', 'EAnnotation.element'],['EAnnotation.element', '"", ""['EAnnotation.element', 'EStringToStringMapEntry.value']].\n[['""]","['EAnnotation.element','EStringToStringMapEntry.ocl']","['EAnnotation.element','EStringToStringMapEntry.type']",EAnnotation.element,False
55,55,55,experiment_samples/science.eavp!!org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore/test_samples.jsonl,"['EClass.ColorOption','EAnnotation.ColorOption']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_huJJqN6vEei97MD7GK1RmA', 'key':'documentation','value':'An option which will set the mesh's color. '}}""

$$",['Add_node'],"['EAnnotation.ColorOption','EStringToStringMapEntry.documentation']","[""['EClass.ColorOption', 'EAnnotation.ColorOption'],['EAnnotation.Color""]","['EAnnotation.ColorOption','EStringToStringMapEntry.documentation']","['EClass.ColorOption','EAnnotation.ColorOption']",EClass.ColorOption,False
58,58,58,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtcore_model_QVTcore.ecore/test_samples.jsonl,"['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit']"," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Jqtlxd6vEei97MD7GK1RmA', 'key':'body','value':'\\n\\tgetReferredTargetProperty().isImplicit\\n\\t\\n'}}""

$$",['Add_node'],"['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body']","[""['EAnnotation.validateOppositePropertyIsImplicit', 'EStringToStringMap"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EOperation.validateOpp"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EOperation.validateOpp"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EStringToStringMap"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EStringToStringMap"", ""['EOperation.validateOppositePropertyDoesntExist', 'EAnnotation.validate"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EStringToStringMap""]","['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body']",,,False
63,63,63,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.xtext.qvtrelation_model_QVTrelationCS.ecore/test_samples.jsonl,"['EClass.TemplateCS','EReference.guardExpression']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_Z580Y96vEei97MD7GK1RmA', 'name':'ownedGuardExpression','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'ExpCS','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2f6460b9 (expression: ExpCS)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'TemplateCS','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'ExpCS'}}""

$$",['Add_node'],"['EClass.TemplateCS','EReference.ownedGuardExpression']","[""['EClass.TemplateCS', 'EReference.guardExpression'], ['E""]","['EClass.TemplateCS','EReference.ownedGuardExpression']","['EClass.TemplateCS','EReference.guardExpression']",EClass.TemplateCS,False
68,68,68,experiment_samples/modeling.emft.edapt!!plugins_org.eclipse.emf.edapt.declaration_model_declaration.ecore/test_samples.jsonl,"['EAttribute.breaking','EAnnotation.breaking'],['EClass.Operation','EAttribute.breaking']"," 1 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZqYZO96tEei97MD7GK1RmA', 'key':'documentation','value':'Whether this operation may cause existing models to need migration. '}}""

$$",['Add_node'],"['EAnnotation.breaking','EStringToStringMapEntry.documentation']","[""['EAnnotation.breaking', 'EAttribute.breaking']].\n\nHow to"", ""['EClass.Operation', 'EAttribute.breaking']]. \n\nAnd the"", ""['EAttribute.breaking', 'EAnnotation.terminative']].\n['""]","['EAnnotation.breaking','EStringToStringMapEntry.documentation']","['EAnnotation.breaking','EAttribute.breaking']",EAttribute.breaking,False
100,100,100,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_nsWuMt6tEei97MD7GK1RmA', 'key':'documentation','value':'Activity groups are a generic grouping construct for nodes and edges. Nodes and edges can belong to more than one group.\\n\\nThey have no inherent semantics and can be used for various purposes. Subclass'}}""

$$",['Add_node']," 0 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_nsWuMt6tEei97MD7GK1RmA', 'key':'documentation','value':'Activity groups are a generic grouping construct for nodes and edges. Nodes and edges can belong to more than one group.\\n\\nThey have no inherent semantics and can be used for various purposes. Subclass'}}""

$$",,,,,True
105,105,105,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation'],['EOperation.type_and_ordering','EAnnotation.type_and_ordering'],['EOperation.type_and_ordering','EAnnotation.type_and_ordering']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_2Y__6t6tEei97MD7GK1RmA', 'key':'documentation','value':'The type and ordering of the result OutputPin are the same as the type and ordering of the variable.\\nresult.type =variable.type and \\nresult.isOrdered = variable.isOrdered'}}""

$$",['Add_node'],"['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation']","[""['EAnnotation.type_and_ordering', 'EAnnotation.type_and_ordering"", ""['EAnnotation.type_and_ordering','EOperation.type_and_ordering']"", ""['EAnnotation.type_and_ordering', 'EAnnotation.type_and_ordering"", ""['EAnnotation.type_and_ordering', 'EStringToStringMapEntry.documentation"", ""['EAnnotation.type_and_ordering', 'EAnnotation.type_and_ordering"", ""['EOperation.type_and_ordering', 'EAnnotation.type_and_ordering"", ""['EAnnotation.type_and_ordering', 'EAnnotation.type_and_ordering""]","['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation']",,EAnnotation.type_and_ordering,False
106,106,106,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation'],['EReference.ownedParameter','EAnnotation.ownedParameter'],['EReference.ownedParameter','EAnnotation.ownedParameter']"," 2 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIGjjN6tEei97MD7GK1RmA', 'key':'documentation','value':'References a list of parameters to the behavior which describes the order and type of arguments that can be given when the behavior is invoked and of the values which will be returned when the behavio'}}""

$$",['Add_node'],"['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation']","[""['EAnnotation.ownedParameter', 'EStringToStringMapEntry.name'],"", ""['EReference.ownedParameter.ownedParameter', 'EAnnotation."", ""['EAnnotation.ownedResource', 'EReference.ownedResource']"", ""['EAnnotation.ownedParameter', 'EStringToStringMapEntry']\n['"", ""['EAnnotation.ownedParameter', 'EStringToStringMapEntry.name'],"", ""['EReference.ownedParameter', 'EReference.ownedParameter"", ""['EAnnotation.ownedElement', 'EAnnotation.ownedParameter'].""]","['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation']","['EAnnotation.ownedParameter','EStringToStringMapEntry.name']",EAnnotation.ownedParameter,False
110,110,110,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']"," 3 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIHKwd6tEei97MD7GK1RmA', 'key':'documentation','value':'The multiplicity of ExtensionEnd is 0..1 or 1.\\n(self->lowerBound() = 0 or self->lowerBound() = 1) and self->upperBound() = 1'}}""

$$",['Add_node'],"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","[""['EAnnotation.multiplicity', 'EStringToStringMapEntry.documentation']"", ""['EAnnotation.effective', 'EOperation.effective']].\n\nThe results"", ""['EOperation', 'EAnnotation']].\n[['Professor', 'StaffMember"", ""['EAnnotation.multiplicity', 'EStringToStringMapEntry.key'],"", ""['EAnnotation.multivalued', 'EAnnotation.multiplicity.value'],"", ""['EAnnotation.multiplicity', 'EOperation.multiplicity']]."", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity.documentation']""]","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']",EAnnotation.multiplicity,True
