,Unnamed: 0,id,source,prompt,completion,completion_type,chaaben_completion,new_node_gt,anchor_node_gt,completion_string,simplified_gt_association,simplified_gen_association,simplified_concept_ranked,same_association,same_concept,class_names_gt,names_gt,class_names_gen,names_gen,same_class,same_name,simplified_correct
10,10,10,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.codegen.ecore_model_GenModel.ecore/test_samples.jsonl,"['EAnnotation.documentation','EStringToStringMapEntry.documentation'],['EAnnotation.documentation','EStringToStringMapEntry.suppressedIsSetVisibility'],['EAttribute.documentation','EAnnotation.documentation'],['EClass.GenClassifier','EAttribute.documentation']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZLrE896tEei97MD7GK1RmA', 'key':'suppressedUnsetVisibility','value':'true'}}""

$$",['Add_node'],"['EAnnotation.documentation','EStringToStringMapEntry.suppressedUnsetVisibility']",EStringToStringMapEntry.suppressedUnsetVisibility,EAnnotation.documentation,"[""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation', 'EAnnotation.documentation"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation', 'EAnnotation.documentation"", ""['EAnnotation.documentation', 'EAttribute.documentation']].\n['EAttribute.documentation', 'EAnnotation.documentation"", ""['EClass.Classifier', 'EAttribute.name'], ['EClass.Classifier', 'EAttribute"", ""['EAnnotation.EAnnotation', 'EStringToStringMapEntry.EAnnotation']].\n['EAnnotation.E"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation', 'EAnnotation.documentation"", ""['EAnnotation.document', 'EStringToStringMapEntry.document'].\n['EAnnotation.documentation', '"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.suppressedIsSetVisibility']].\n[['E"", ""['EAnnotation.documentation', 'EAnnotation.documentation'], ['EAnnotation.documentation', 'EAnnotation.documentation']"", ""['EAttribute.documentation', 'EAnnotation.documentation'], ['EAttribute.documentation', 'EAnnotation.documentation']"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.documentation'], ['EAnnotation.documentation', 'E"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation', 'EAnnotation.documentation"", ""['EAnnotation.version', 'EStringToStringMapEntry.version']].\n['EAnnotation.documentation', '"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.suppressedIsSpecifiedVisibility']].[['"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.documentation'].\n['EAnnotation.documentation', '""]","['EAnnotation.documentation','EStringToStringMapEntry.suppressedUnsetVisibility']","['EAnnotation.documentation','EAnnotation.documentation']",EAnnotation.documentation,False,False,EStringToStringMapEntry,suppressedUnsetVisibility,EAnnotation,documentation,False,False,False
11,11,11,experiment_samples/modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'lowerBound', 'valueBefore': '0', 'valueAfter': '1'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
12,12,12,experiment_samples/modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore/test_samples.jsonl,"['EClass.ExtendedVisitor','EOperation.visitBlockExp']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_BFzAAt6vEei97MD7GK1RmA', 'name':'blockExp','ordered':'true','unique':'true','lowerBound':'1','upperBound':'1','many':'false','required':'true','eType':'BlockExp','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@367969f2 (expression: BlockExp)','eOperation':'visitBlockExp'}}""

$$",['Add_node'],"['EOperation.visitBlockExp','EParameter.blockExp']",EParameter.blockExp,EOperation.visitBlockExp,"[""['EClass.ExtendedVisitor', 'EOperation.visitBlock']].\n['EClass.ExtendedVisitor""]","['EOperation.visitBlockExp','EParameter.blockExp']","['EClass.ExtendedVisitor','EOperation.visitBlock']",EClass.ExtendedVisitor,False,False,EParameter,blockExp,EClass,ExtendedVisitor,False,False,False
13,13,13,experiment_samples/tools.buckminster!!org.eclipse.buckminster.rmap_model_rmap.ecore/test_samples.jsonl,"['EEnum.VersionSelectorType','EEnumLiteral.TAG']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eLiterals'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EEnumLiteral', 'attributes': {'id': '_n2IqKd60Eei97MD7GK1RmA', 'name':'BRANCH','value':'0','instance':'BRANCH','literal':'BRANCH','eEnum':'VersionSelectorType'}}""

$$",['Add_node'],"['EEnum.VersionSelectorType','EEnumLiteral.BRANCH']",EEnumLiteral.BRANCH,EEnum.VersionSelectorType,"[""['EEnum.VersionSelectorType', 'EEnumLiteral.BUILD'], ['EEnum.VersionSelectorType""]","['EEnum.VersionSelectorType','EEnumLiteral.BRANCH']","['EEnum.VersionSelectorType','EEnumLiteral.BUILD']",EEnumLiteral.BUILD,False,False,EEnumLiteral,BRANCH,EEnumLiteral,BUILD,True,False,False
14,14,14,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.Expression','EAnnotation.Expression']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4dIt6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.Expression','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.Expression,"[""['EClass.Expression', 'EAttribute.Expression'],['EClass.Expression', 'EClass.Expression']].""]","['EAnnotation.Expression','EStringToStringMapEntry.documentation']","['EClass.Expression','EAttribute.Expression']",EClass.Expression,False,False,EStringToStringMapEntry,documentation,EClass,Expression,False,False,False
15,15,15,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_LWKs6d6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@3c9081d8 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'Part','ePackage':'basic','abstract':'false','interface':'false','eOperations':['getLocalizedDescription'],'eStructuralFeatures':['menus','toolbar','closeable','description'],'eGenericSuperTypes':['org.eclipse.emf.ecore.impl.EGenericTypeImpl@10fb1f0b (expression: UIElement)','org.eclipse.emf.ecore.impl.EGenericTypeImpl@47fdfe0e (expression: PartSashContainerElement)','org.eclipse.emf.ecore.impl.EGenericTypeImpl@3ed28b0 (expression: StackElement)','...']}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
16,16,16,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.PartSashContainerElement','EAnnotation.PartSashContainerElement']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4eUN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.PartSashContainerElement','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.PartSashContainerElement,"[""['EClass.PartSashElement', 'EAnnotation.PartSashElement']].\n\nThe output is""]","['EAnnotation.PartSashContainerElement','EStringToStringMapEntry.documentation']","['EClass.PartSashElement','EAnnotation.PartSashElement']",EClass.PartSashElement,False,False,EStringToStringMapEntry,documentation,EClass,PartSashElement,False,False,False
17,17,17,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.rootContext','EAnnotation.rootContext']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4cEN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.rootContext','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.rootContext,"[""['EAnnotation.rootContext', 'EAnnotation.rootContext']].\n[['EAnnotation', 'EAnnotation""]","['EAnnotation.rootContext','EStringToStringMapEntry.documentation']","['EAnnotation.rootContext','EAnnotation.rootContext']",EAnnotation.rootContext,False,False,EStringToStringMapEntry,documentation,EAnnotation,rootContext,False,False,False
18,18,18,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 3 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],,,,,,,,,,,,,,,,
19,19,19,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.commandName','EAnnotation.commandName']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4cO96tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.commandName','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.commandName,"[""['EAttribute.name', 'EAnnotation.name'].\n['EAttribute.value', 'EAnnotation.value""]","['EAnnotation.commandName','EStringToStringMapEntry.documentation']","['EAttribute.name','EAnnotation.name']",EAttribute.name,False,False,EStringToStringMapEntry,documentation,EAttribute,name,False,False,False
20,20,20,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_W6zNeN6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@3f5b273b (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'category','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Category','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@4b5d9644 (expression: Category)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Command','containment':'false','container':'false','resolveProxies':'true','eReferenceType':'Category'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
21,21,21,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.accessibilityPhrase','EAnnotation.accessibilityPhrase']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4c2d6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.accessibilityPhrase','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.accessibilityPhrase,"[""['EAnnotation.accessibilityPhrase', 'EAttribute.accessibilityPhrase']].\n[['EAnnotation.accessibility""]","['EAnnotation.accessibilityPhrase','EStringToStringMapEntry.documentation']","['EAnnotation.accessibilityPhrase','EAttribute.accessibilityPhrase']",EAttribute.accessibilityPhrase,False,False,EStringToStringMapEntry,documentation,EAttribute,accessibilityPhrase,False,False,False
22,22,22,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EAttribute', 'attributes': {'id': '_LWKsed6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@1948bb56 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'object','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EJavaObject','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@50bc8f74 (expression: EJavaObject)','changeable':'true','volatile':'false','transient':'true','unsettable':'false','derived':'true','eContainingClass':'Contribution','iD':'false','eAttributeType':'EJavaObject'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
23,23,23,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.descriptors','EAnnotation.descriptors']"," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4erN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.descriptors','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.descriptors,"[""['EReference.descriptors', 'EAnnotation.definition']].\n['EReference.descriptors',""]","['EAnnotation.descriptors','EStringToStringMapEntry.documentation']","['EReference.descriptors','EAnnotation.definition']",EReference.descriptors,False,False,EStringToStringMapEntry,documentation,EReference,descriptors,False,False,False
24,24,24,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XPd28d6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\nThis type defines the base type for 'stack' type containers. These containers are\\r\\nexpected to only show their currently 'selected' element.\\r\\n</p>\\r\\n@since 1.0'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
25,25,25,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 0 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],,,,,,,,,,,,,,,,
26,26,26,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.positionInParent','EAnnotation.positionInParent']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4dz96tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.positionInParent','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.positionInParent,"[""['EAttribute.positionInParent', 'EAnnotation.positionInParent']].\n\nNote: Each concept is""]","['EAnnotation.positionInParent','EStringToStringMapEntry.documentation']","['EAttribute.positionInParent','EAnnotation.positionInParent']",EAttribute.positionInParent,False,False,EStringToStringMapEntry,documentation,EAttribute,positionInParent,False,False,False
27,27,27,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_LWKsdt6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@1e6c00b2 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'Contribution','ePackage':'application','abstract':'true','interface':'false','eStructuralFeatures':['contributionURI','object'],'eGenericSuperTypes':['org.eclipse.emf.ecore.impl.EGenericTypeImpl@3b314449 (expression: ApplicationElement)']}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
28,28,28,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],,,,,,,,,,,,,,,,
29,29,29,experiment_samples/modeling.mmt.atl!!plugins_org.eclipse.m2m.atl.emftvm_model_emftvm.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOperations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_5WZgEt6tEei97MD7GK1RmA', 'name':'InputRuleElement','ePackage':'emftvm','abstract':'false','interface':'false','eOperations':['createIterable'],'eStructuralFeatures':['binding','inputFor'],'eGenericSuperTypes':['org.eclipse.emf.ecore.impl.EGenericTypeImpl@391675a1 (expression: RuleElement)']}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
30,30,30,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtrelation_model_QVTrelation.ecore/test_samples.jsonl,," 3 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],,,,,,,,,,,,,,,,
