Unnamed: 0,id,source,prompt,completion,completion_type
17,17,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.rootContext','EAnnotation.rootContext']","['EAnnotation.rootContext','EStringToStringMapEntry.documentation']",['Add_node']
18,18,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,,,['Remove_node']
19,19,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.commandName','EAnnotation.commandName']","['EAnnotation.commandName','EStringToStringMapEntry.documentation']",['Add_node']
20,20,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,,,['Add_node']
21,21,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.accessibilityPhrase','EAnnotation.accessibilityPhrase']","['EAnnotation.accessibilityPhrase','EStringToStringMapEntry.documentation']",['Add_node']
22,22,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,,,['Add_node']
23,23,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.descriptors','EAnnotation.descriptors']","['EAnnotation.descriptors','EStringToStringMapEntry.documentation']",['Add_node']
24,24,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,,,['Remove_node']
25,25,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,,,['Remove_node']
26,26,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.positionInParent','EAnnotation.positionInParent']","['EAnnotation.positionInParent','EStringToStringMapEntry.documentation']",['Add_node']
27,27,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,,,['Add_node']
28,28,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,,,['Add_node']
29,29,experiment_samples/modeling.mmt.atl!!plugins_org.eclipse.m2m.atl.emftvm_model_emftvm.ecore/test_samples.jsonl,,,['Add_node']
30,30,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtrelation_model_QVTrelation.ecore/test_samples.jsonl,,,['Remove_node']
31,31,experiment_samples/modeling.sirius!!plugins_org.eclipse.sirius_model_viewpoint.ecore/test_samples.jsonl,,,['Change_attribute']
32,32,experiment_samples/modeling.sirius!!plugins_org.eclipse.sirius_model_viewpoint.ecore/test_samples.jsonl,,,['Remove_node']
33,33,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,,,['Change_attribute']
34,34,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,,,['Remove_node']
35,35,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.def'],['EClass.AuditedMetricTarget','EAnnotation.AuditedMetricTarget']","['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.ocl']",['Add_node']
36,36,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.element','EStringToStringMapEntry.description'],['EReference.element','EAnnotation.element']","['EAnnotation.element','EStringToStringMapEntry.ocl']",['Add_node']
37,37,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtbase_model_QVTbase.ecore/test_samples.jsonl,,,['Remove_node']
38,38,experiment_samples/modeling.emft.emf-client!!bundles_org.eclipse.emf.ecp.view.custom.model_model_custom.ecore/test_samples.jsonl,,,['Add_node']
39,39,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_ImperativeOCL.ecore/test_samples.jsonl,,,['Remove_node']
40,40,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_model.ecore/test_samples.jsonl,,,['Add_edge']
41,41,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_model.ecore/test_samples.jsonl,,,['Add_edge']
42,42,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_model.ecore/test_samples.jsonl,,,['Add_edge']
43,43,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.ecore.change_model_Change.ecore/test_samples.jsonl,,,['Add_node']
44,44,experiment_samples/modeling.mdt.papyrus!!plugins_infra_core_org.eclipse.papyrus.infra.core.architecture_model_Architecture.ecore/test_samples.jsonl,,,['Add_node']
45,45,experiment_samples/modeling.mdt.papyrus!!plugins_infra_core_org.eclipse.papyrus.infra.core.architecture_model_Architecture.ecore/test_samples.jsonl,,,['Add_node']
46,46,experiment_samples/modeling.mdt.bpmn2!!org.eclipse.bpmn2_model_BPMN20.ecore/test_samples.jsonl,,,['Change_attribute']
47,47,experiment_samples/modeling.mdt.bpmn2!!org.eclipse.bpmn2_model_BPMN20.ecore/test_samples.jsonl,,,['Add_node']
48,48,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.ecore_model_XMLType.ecore/test_samples.jsonl,,,['Remove_node']
49,49,experiment_samples/modeling.eef!!plugins_org.eclipse.emf.eef.modelingbot_model_mbot.ecore/test_samples.jsonl,,,['Remove_node']
50,50,experiment_samples/birt!!chart_org.eclipse.birt.chart.engine_src_model_org.eclipse.birt.chart.model.type.ecore/test_samples.jsonl,,,['Add_node']
51,51,experiment_samples/birt!!chart_org.eclipse.birt.chart.engine_src_model_org.eclipse.birt.chart.model.type.ecore/test_samples.jsonl,,,['Remove_node']
52,52,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore/test_samples.jsonl,,,['Change_attribute']
53,53,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore/test_samples.jsonl,,,['Add_node']
54,54,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore/test_samples.jsonl,,,['Add_node']
55,55,experiment_samples/science.eavp!!org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore/test_samples.jsonl,"['EClass.ColorOption','EAnnotation.ColorOption']","['EAnnotation.ColorOption','EStringToStringMapEntry.documentation']",['Add_node']
56,56,experiment_samples/technology.cbi!!org.eclipse.b3.aggregator.legacy_models_aggregator_1.1.0.ecore/test_samples.jsonl,,,['Add_node']
57,57,experiment_samples/modeling.mmt.atl!!deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/test_samples.jsonl,,,['Change_attribute']
58,58,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtcore_model_QVTcore.ecore/test_samples.jsonl,"['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit']","['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body']",['Add_node']
59,59,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore/test_samples.jsonl,,,['Add_node']
60,60,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore/test_samples.jsonl,,,['Remove_node']
61,61,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore/test_samples.jsonl,,,['Add_node']
62,62,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.tooldef_models_tooldef.ecore/test_samples.jsonl,,,['Add_node']
63,63,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.xtext.qvtrelation_model_QVTrelationCS.ecore/test_samples.jsonl,"['EClass.TemplateCS','EReference.guardExpression']","['EClass.TemplateCS','EReference.ownedGuardExpression']",['Add_node']
64,64,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,,,['Add_node']
65,65,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,,,['Add_node']
66,66,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,,,['Add_node']
67,67,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,,,['Add_node']
68,68,experiment_samples/modeling.emft.edapt!!plugins_org.eclipse.emf.edapt.declaration_model_declaration.ecore/test_samples.jsonl,"['EAttribute.breaking','EAnnotation.breaking'],['EClass.Operation','EAttribute.breaking']","['EAnnotation.breaking','EStringToStringMapEntry.documentation']",['Add_node']
69,69,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_graph.ecore/test_samples.jsonl,,,['Add_edge']
70,70,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_graph.ecore/test_samples.jsonl,,,['Add_edge']
71,71,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_graph.ecore/test_samples.jsonl,,,['Add_edge']
72,72,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
73,73,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
74,74,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
75,75,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
76,76,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
77,77,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
78,78,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
79,79,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
80,80,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
81,81,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
82,82,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
83,83,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
84,84,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
85,85,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
86,86,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
87,87,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
88,88,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
89,89,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
90,90,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
91,91,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
92,92,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
93,93,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
94,94,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
95,95,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Change_attribute']
96,96,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
97,97,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
98,98,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
99,99,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
100,100,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_nsWuMt6tEei97MD7GK1RmA', 'key':'documentation','value':'Activity groups are a generic grouping construct for nodes and edges. Nodes and edges can belong to more than one group.\\n\\nThey have no inherent semantics and can be used for various purposes. Subclass'}}""

$$",['Add_node']
101,101,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
102,102,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
103,103,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
104,104,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
105,105,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation'],['EOperation.type_and_ordering','EAnnotation.type_and_ordering'],['EOperation.type_and_ordering','EAnnotation.type_and_ordering']","['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation']",['Add_node']
106,106,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation'],['EReference.ownedParameter','EAnnotation.ownedParameter'],['EReference.ownedParameter','EAnnotation.ownedParameter']","['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation']",['Add_node']
107,107,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
108,108,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
109,109,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
110,110,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']",['Add_node']
111,111,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
112,112,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
113,113,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
114,114,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
115,115,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation'],['EReference.realizingClassifier','EAnnotation.realizingClassifier'],['EReference.realizingClassifier','EAnnotation.realizingClassifier']","['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation']",['Add_node']
116,116,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
117,117,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.result','EStringToStringMapEntry.documentation'],['EReference.result','EAnnotation.result'],['EReference.result','EAnnotation.result']","['EAnnotation.result','EStringToStringMapEntry.documentation']",['Add_node']
118,118,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
119,119,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
120,120,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
121,121,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
122,122,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ownedEnd','EStringToStringMapEntry.documentation'],['EReference.ownedEnd','EAnnotation.ownedEnd'],['EReference.ownedEnd','EAnnotation.ownedEnd']","['EAnnotation.ownedEnd','EStringToStringMapEntry.documentation']",['Add_node']
123,123,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
124,124,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
125,125,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
126,126,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
127,127,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
128,128,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
129,129,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.decider','EStringToStringMapEntry.documentation'],['EReference.decider','EAnnotation.decider'],['EReference.decider','EAnnotation.decider']","['EAnnotation.decider','EStringToStringMapEntry.documentation']",['Add_node']
130,130,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.getUpper','EStringToStringMapEntry.suppressedVisibility'],['EOperation.getUpper','EAnnotation.getUpper'],['EOperation.getUpper','EAnnotation.getUpper'],['EAnnotation.getUpper','EStringToStringMapEntry.documentation']","['EAnnotation.getUpper','EStringToStringMapEntry.documentation']",['Add_node']
131,131,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']",['Add_node']
132,132,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
133,133,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
134,134,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ends_of_association','EStringToStringMapEntry.documentation'],['EOperation.ends_of_association','EAnnotation.ends_of_association'],['EOperation.ends_of_association','EAnnotation.ends_of_association']","['EAnnotation.ends_of_association','EStringToStringMapEntry.documentation']",['Add_node']
135,135,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
136,136,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
137,137,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
138,138,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
139,139,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
140,140,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
141,141,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
142,142,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type_is_classifier','EStringToStringMapEntry.documentation'],['EOperation.type_is_classifier','EAnnotation.type_is_classifier'],['EOperation.type_is_classifier','EAnnotation.type_is_classifier']","['EAnnotation.type_is_classifier','EStringToStringMapEntry.documentation']",['Add_node']
143,143,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']",['Add_node']
144,144,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
145,145,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
146,146,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
147,147,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.qualifier','EStringToStringMapEntry.documentation'],['EReference.qualifier','EAnnotation.qualifier'],['EReference.qualifier','EAnnotation.qualifier']","['EAnnotation.qualifier','EStringToStringMapEntry.documentation']",['Add_node']
