Unnamed: 0,id,source,prompt,completion,completion_type,completion_generated
14,14,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.Expression','EAnnotation.Expression']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4dIt6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],
15,15,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_LWKs6d6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@3c9081d8 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'Part','ePackage':'basic','abstract':'false','interface':'false','eOperations':['getLocalizedDescription'],'eStructuralFeatures':['menus','toolbar','closeable','description'],'eGenericSuperTypes':['org.eclipse.emf.ecore.impl.EGenericTypeImpl@10fb1f0b (expression: UIElement)','org.eclipse.emf.ecore.impl.EGenericTypeImpl@47fdfe0e (expression: PartSashContainerElement)','org.eclipse.emf.ecore.impl.EGenericTypeImpl@3ed28b0 (expression: StackElement)','...']}}"" _

$$",['Add_node'],
16,16,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.PartSashContainerElement','EAnnotation.PartSashContainerElement']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4eUN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],
17,17,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.rootContext','EAnnotation.rootContext']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4cEN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],
18,18,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 3 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],
19,19,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.commandName','EAnnotation.commandName']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4cO96tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],
20,20,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_W6zNeN6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@3f5b273b (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'category','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Category','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@4b5d9644 (expression: Category)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Command','containment':'false','container':'false','resolveProxies':'true','eReferenceType':'Category'}}"" _

$$",['Add_node'],
21,21,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.accessibilityPhrase','EAnnotation.accessibilityPhrase']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4c2d6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],
22,22,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EAttribute', 'attributes': {'id': '_LWKsed6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@1948bb56 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'object','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EJavaObject','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@50bc8f74 (expression: EJavaObject)','changeable':'true','volatile':'false','transient':'true','unsettable':'false','derived':'true','eContainingClass':'Contribution','iD':'false','eAttributeType':'EJavaObject'}}"" _

$$",['Add_node'],
23,23,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.descriptors','EAnnotation.descriptors']"," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4erN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],
24,24,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XPd28d6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\nThis type defines the base type for 'stack' type containers. These containers are\\r\\nexpected to only show their currently 'selected' element.\\r\\n</p>\\r\\n@since 1.0'}}""

$$",['Remove_node'],
25,25,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 0 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],
26,26,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.positionInParent','EAnnotation.positionInParent']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4dz96tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],
27,27,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_LWKsdt6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@1e6c00b2 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'Contribution','ePackage':'application','abstract':'true','interface':'false','eStructuralFeatures':['contributionURI','object'],'eGenericSuperTypes':['org.eclipse.emf.ecore.impl.EGenericTypeImpl@3b314449 (expression: ApplicationElement)']}}"" _

$$",['Add_node'],
28,28,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],
29,29,experiment_samples/modeling.mmt.atl!!plugins_org.eclipse.m2m.atl.emftvm_model_emftvm.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOperations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_5WZgEt6tEei97MD7GK1RmA', 'name':'InputRuleElement','ePackage':'emftvm','abstract':'false','interface':'false','eOperations':['createIterable'],'eStructuralFeatures':['binding','inputFor'],'eGenericSuperTypes':['org.eclipse.emf.ecore.impl.EGenericTypeImpl@391675a1 (expression: RuleElement)']}}"" _

$$",['Add_node'],
30,30,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtrelation_model_QVTrelation.ecore/test_samples.jsonl,," 3 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],
31,31,experiment_samples/modeling.sirius!!plugins_org.eclipse.sirius_model_viewpoint.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'upperBound', 'valueBefore': '1', 'valueAfter': '4'}""

$$",['Change_attribute'],
32,32,experiment_samples/modeling.sirius!!plugins_org.eclipse.sirius_model_viewpoint.ecore/test_samples.jsonl,," 3 0 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eClassifiers'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EPackage', 'attributes': {'id': '_fmIXUN6vEei97MD7GK1RmA', 'name':'description','nsURI':'http://www.eclipse.org/sirius/description/1.1.0','nsPrefix':'description','eFactoryInstance':'org.eclipse.emf.ecore.impl.EFactoryImpl@15658306','eClassifiers':['Group','Component','Viewpoint','FeatureExtensionDescription','RepresentationDescription','RepresentationTemplate','RepresentationImportDescription','RepresentationExtensionDescription','MetamodelExtensionSetting','...'],'eSubpackages':['style','tool','validation','audit'],'eSuperPackage':'viewpoint'}}"" _

$$",['Remove_node'],
33,33,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
34,34,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,," 1 4 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],
35,35,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.def'],['EClass.AuditedMetricTarget','EAnnotation.AuditedMetricTarget']"," 1 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_bLm8jd6tEei97MD7GK1RmA', 'key':'ocl','value':''ecore::EDoubleObject''}}""

$$",['Add_node'],
36,36,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.element','EStringToStringMapEntry.description'],['EReference.element','EAnnotation.element']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_bLm8bN6tEei97MD7GK1RmA', 'key':'ocl','value':'element.oclIsKindOf(notation::View)'}}""

$$",['Add_node'],
37,37,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtbase_model_QVTbase.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_CXsq2N6vEei97MD7GK1RmA', 'key':'body','value':'overriden'}}""

$$",['Remove_node'],
38,38,experiment_samples/modeling.emft.emf-client!!bundles_org.eclipse.emf.ecp.view.custom.model_model_custom.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ _

$$",['Add_node'],
39,39,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_ImperativeOCL.ecore/test_samples.jsonl,," 1 4 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],
40,40,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_model.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_YQ_iEN60Eei97MD7GK1RmA', 'name':'decorators','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'Decorator','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7415cc5a (expression: Decorator)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Graph','containment':'true','container':'false','resolveProxies':'false','eOpposite':'graph','eReferenceType':'Decorator'}}""

$$",['Add_edge'],
41,41,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_model.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_YQ_iEN60Eei97MD7GK1RmA', 'name':'decorators','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'Decorator','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@4b3ed1ce (expression: Decorator)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Graph','containment':'true','container':'false','resolveProxies':'false','eOpposite':'graph','eReferenceType':'Decorator'}}""

$$",['Add_edge'],
42,42,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_model.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_YQ_iEN60Eei97MD7GK1RmA', 'name':'decorators','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'Decorator','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@307347e9 (expression: Decorator)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Graph','containment':'true','container':'false','resolveProxies':'false','eOpposite':'graph','eReferenceType':'Decorator'}}""

$$",['Add_edge'],
43,43,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.ecore.change_model_Change.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOperations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_ZQn1L96tEei97MD7GK1RmA', 'name':'FeatureChange','ePackage':'change','abstract':'false','interface':'false','eOperations':['apply','applyAndReverse','reverse'],'eStructuralFeatures':['featureName','dataValue','set','value','feature','referenceValue','listChanges']}}"" _

$$",['Add_node'],
44,44,experiment_samples/modeling.mdt.papyrus!!plugins_infra_core_org.eclipse.papyrus.infra.core.architecture_model_Architecture.ecore/test_samples.jsonl,," 3 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EAttribute', 'attributes': {'id': '_fWEwdN6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@26cac016 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'name','ordered':'true','unique':'true','lowerBound':'1','upperBound':'1','many':'false','required':'true','eType':'EString','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@6533eb56 (expression: EString)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'ADElement','iD':'false','eAttributeType':'EString'}}"" _

$$",['Add_node'],
45,45,experiment_samples/modeling.mdt.papyrus!!plugins_infra_core_org.eclipse.papyrus.infra.core.architecture_model_Architecture.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_fWEwc96tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@12af71f9 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'ADElement','ePackage':'architecture','abstract':'true','interface':'false','eStructuralFeatures':['id','name','description','qualifiedName','icon']}}"" _

$$",['Add_node'],
46,46,experiment_samples/modeling.mdt.bpmn2!!org.eclipse.bpmn2_model_BPMN20.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
