,Unnamed: 0,id,source,prompt,ramc_completion,completion_type,completion,new_node_gt,anchor_node_gt,completion_string,simplified_gt_association,simplified_gen_association,simplified_concept_ranked,same_association,same_concept,class_names_gt,names_gt,class_names_gen,names_gen,same_class_name,same_name
17,17,17,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.rootContext','EAnnotation.rootContext']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4cEN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.rootContext','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.rootContext,"[""['EAnnotation.rootContext', 'EAnnotation.rootContext']].\n[['EAnnotation', 'EAnnotation""]","['EAnnotation.rootContext','EStringToStringMapEntry.documentation']","['EAnnotation.rootContext','EAnnotation.rootContext']",EAnnotation.rootContext,False,False,EStringToStringMapEntry,documentation,EAnnotation,rootContext,False,False
19,19,19,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.commandName','EAnnotation.commandName']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4cO96tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.commandName','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.commandName,"[""['EAttribute.name', 'EAnnotation.name'].\n['EAttribute.value', 'EAnnotation.value""]","['EAnnotation.commandName','EStringToStringMapEntry.documentation']","['EAttribute.name','EAnnotation.name']",EAttribute.name,False,False,EStringToStringMapEntry,documentation,EAttribute,name,False,False
21,21,21,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.accessibilityPhrase','EAnnotation.accessibilityPhrase']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4c2d6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.accessibilityPhrase','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.accessibilityPhrase,"[""['EAnnotation.accessibilityPhrase', 'EAttribute.accessibilityPhrase']].\n[['EAnnotation.accessibility""]","['EAnnotation.accessibilityPhrase','EStringToStringMapEntry.documentation']","['EAnnotation.accessibilityPhrase','EAttribute.accessibilityPhrase']",EAnnotation.accessibilityPhrase,False,False,EStringToStringMapEntry,documentation,EAnnotation,accessibilityPhrase,False,False
23,23,23,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EReference.descriptors','EAnnotation.descriptors']"," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4erN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.descriptors','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.descriptors,"[""['EReference.descriptors', 'EAnnotation.definition']].\n['EReference.descriptors',""]","['EAnnotation.descriptors','EStringToStringMapEntry.documentation']","['EReference.descriptors','EAnnotation.definition']",EReference.descriptors,False,False,EStringToStringMapEntry,documentation,EReference,descriptors,False,False
26,26,26,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EAttribute.positionInParent','EAnnotation.positionInParent']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4dz96tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.positionInParent','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.positionInParent,"[""['EAttribute.positionInParent', 'EAnnotation.positionInParent']].\n\nNote: Each concept is""]","['EAnnotation.positionInParent','EStringToStringMapEntry.documentation']","['EAttribute.positionInParent','EAnnotation.positionInParent']",EAttribute.positionInParent,False,False,EStringToStringMapEntry,documentation,EAttribute,positionInParent,False,False
35,35,35,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.def'],['EClass.AuditedMetricTarget','EAnnotation.AuditedMetricTarget']"," 1 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_bLm8jd6tEei97MD7GK1RmA', 'key':'ocl','value':''ecore::EDoubleObject''}}""

$$",['Add_node'],"['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.ocl']",EStringToStringMapEntry.ocl,EAnnotation.AuditedMetricTarget,"[""['EAnnotation.AuditedMetricTarget', 'EStringToStringMapEntry']].\n['EAnnotation"", ""['EClass.AuditedMetricTarget', 'EAnnotation.AuditedMetricTarget']]\n['E"", ""['EAnnotation.AuditedMetricTarget', 'EStringToStringMapEntry.value'], ['EAnnotation""]","['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.ocl']","['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry']",EAnnotation.AuditedMetricTarget,False,False,EStringToStringMapEntry,ocl,EAnnotation,AuditedMetricTarget,False,False
36,36,36,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.element','EStringToStringMapEntry.description'],['EReference.element','EAnnotation.element']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_bLm8bN6tEei97MD7GK1RmA', 'key':'ocl','value':'element.oclIsKindOf(notation::View)'}}""

$$",['Add_node'],"['EAnnotation.element','EStringToStringMapEntry.ocl']",EStringToStringMapEntry.ocl,EAnnotation.element,"[""['EAnnotation.element', 'EStringToStringMapEntry.name']].\n[['person', 'writing']"", ""['EReference.element', 'EReference.element'], ['EReference.element', 'ER"", ""['EAnnotation.element', 'EStringToStringMapEntry.description'],['EAnnotation.element', 'EString""]","['EAnnotation.element','EStringToStringMapEntry.ocl']","['EAnnotation.element','EStringToStringMapEntry.name']",EAnnotation.element,False,False,EStringToStringMapEntry,ocl,EAnnotation,element,False,False
55,55,55,experiment_samples/science.eavp!!org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore/test_samples.jsonl,"['EClass.ColorOption','EAnnotation.ColorOption']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_huJJqN6vEei97MD7GK1RmA', 'key':'documentation','value':'An option which will set the mesh's color. '}}""

$$",['Add_node'],"['EAnnotation.ColorOption','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.ColorOption,"[""['EClass.ColorOption', 'EAnnotation.ColorOption'],\n['EClass.ColorOption', 'E""]","['EAnnotation.ColorOption','EStringToStringMapEntry.documentation']","['EClass.ColorOption','EAnnotation.ColorOption']",EClass.ColorOption,False,False,EStringToStringMapEntry,documentation,EClass,ColorOption,False,False
58,58,58,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtcore_model_QVTcore.ecore/test_samples.jsonl,"['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit']"," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Jqtlxd6vEei97MD7GK1RmA', 'key':'body','value':'\\n\\tgetReferredTargetProperty().isImplicit\\n\\t\\n'}}""

$$",['Add_node'],"['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body']",EStringToStringMapEntry.body,EAnnotation.validateOppositePropertyIsImplicit,"[""'EStringToStringMapEntry.data']. [‘EAnnotation.validateOppositePropertyIsImplicit’, ‘"", ""['EOperation.validateOppositePropertyIsExplicit', 'EAnnotation.validateOppositePropertyIsExplicit']"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EOperation.validateOppositePropertyIsImplicit']"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EAnnotation.validatePropertyIsOpposite']]."", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EStringToStringMapEntry.name'], ['E"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EAnnotation.validateOppositePropertyIsImplicit']"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EStringToStringMapEntry.value']].\n['""]","['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body']",'EStringToStringMapEntry.data'],EAnnotation.validateOppositePropertyIsImplicit,False,False,EStringToStringMapEntry,body,EAnnotation,validateOppositePropertyIsImplicit,False,False
63,63,63,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.xtext.qvtrelation_model_QVTrelationCS.ecore/test_samples.jsonl,"['EClass.TemplateCS','EReference.guardExpression']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_Z580Y96vEei97MD7GK1RmA', 'name':'ownedGuardExpression','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'ExpCS','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2f6460b9 (expression: ExpCS)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'TemplateCS','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'ExpCS'}}""

$$",['Add_node'],"['EClass.TemplateCS','EReference.ownedGuardExpression']",EReference.ownedGuardExpression,EClass.TemplateCS,"[""['EClass.TemplateCS', 'EReference.guardExpression']].\n[['Person', 'Name'],""]","['EClass.TemplateCS','EReference.ownedGuardExpression']","['EClass.TemplateCS','EReference.guardExpression']",EClass.TemplateCS,False,False,EReference,ownedGuardExpression,EClass,TemplateCS,False,False
68,68,68,experiment_samples/modeling.emft.edapt!!plugins_org.eclipse.emf.edapt.declaration_model_declaration.ecore/test_samples.jsonl,"['EAttribute.breaking','EAnnotation.breaking'],['EClass.Operation','EAttribute.breaking']"," 1 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZqYZO96tEei97MD7GK1RmA', 'key':'documentation','value':'Whether this operation may cause existing models to need migration. '}}""

$$",['Add_node'],"['EAnnotation.breaking','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.breaking,"[""['EAttribute.breaking', 'EArchetype.breaking'],['EAnnotation.breaking', 'E"", ""['EClass.Operation', 'EAttribute.strengthening'].\n[['EClass(Operation)'],"", ""['EAttribute.delete', 'EAnnotation.delete'], ['EAttribute.hide', 'EAnnotation.hide'],""]","['EAnnotation.breaking','EStringToStringMapEntry.documentation']","['EAttribute.breaking','EArchetype.breaking']",EAttribute.breaking,False,False,EStringToStringMapEntry,documentation,EAttribute,breaking,False,False
100,100,100,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_nsWuMt6tEei97MD7GK1RmA', 'key':'documentation','value':'Activity groups are a generic grouping construct for nodes and edges. Nodes and edges can belong to more than one group.\\n\\nThey have no inherent semantics and can be used for various purposes. Subclass'}}""

$$",['Add_node'],,,,,,x,x,False,False,,,x,,False,False
